Name,Constituency,Party
"Abbott, Ms Dianeÿ(Labour)",Hackney North and Stoke Newington,Labour
"Abrahams, Debbieÿ(Labour)",Oldham East and Saddleworth,Labour
"Adams, Nigelÿ(Conservative)",Selby and Ainsty,Conservative
"Afolami, Bimÿ(Conservative)",Hitchin and Harpenden,Conservative
"Afriyie, Adamÿ(Conservative)",Windsor,Conservative
"Aldous, Peterÿ(Conservative)",Waveney,Conservative
"Alexander, Heidiÿ(Labour)",Lewisham East,Labour
"Ali, Rushanaraÿ(Labour)",Bethnal Green and Bow,Labour
"Allan, Lucyÿ(Conservative)",Telford,Conservative
"Allen, Heidiÿ(Conservative)",South Cambridgeshire,Conservative
"Allin-Khan, Dr Rosenaÿ(Labour)",Tooting,Labour
"Amesbury, Mikeÿ(Labour)",Weaver Vale,Labour
"Amess, Sir Davidÿ(Conservative)",Southend West,Conservative
"Andrew, Stuartÿ(Conservative)",Pudsey,Conservative
"Antoniazzi, Toniaÿ(Labour)",Gower,Labour
"Argar, Edwardÿ(Conservative)",Charnwood,Conservative
"Ashworth, Jonathanÿ(Labour (Co-op))",Leicester South,Labour (Co-op)
"Atkins, Victoriaÿ(Conservative)",Louth and Horncastle,Conservative
"Austin, Ianÿ(Labour)",Dudley North,Labour
"Bacon, Mr Richardÿ(Conservative)",South Norfolk,Conservative
"Badenoch, Mrs Kemi(Conservative)",Saffron Walden,Conservative
"Bailey, Mr Adrianÿ(Labour (Co-op))",West Bromwich West,Labour (Co-op)
"Baker, Mr Steveÿ(Conservative)",Wycombe,Conservative
"Baldwin, Harriettÿ(Conservative)",West Worcestershire,Conservative
"Barclay, Stephenÿ(Conservative)",North East Cambridgeshire,Conservative
"Bardell, Hannahÿ(Scottish National Party)",Livingston,Scottish National Party
"Baron, Mr Johnÿ(Conservative)",Basildon and Billericay,Conservative
"Barron, Sir Kevinÿ(Labour)",Rother Valley,Labour
"Bebb, Gutoÿ(Conservative)",Aberconwy,Conservative
"Beckett, Margaretÿ(Labour)",Derby South,Labour
"Bellingham, Sir Henry(Conservative)",North West Norfolk,Conservative
"Benn, Hilaryÿ(Labour)",Leeds Central,Labour
"Benyon, Richardÿ(Conservative)",Newbury,Conservative
"Bercow, Johnÿ(Speaker)",Buckingham,Speaker
"Beresford, Sir Paulÿ(Conservative)",Mole Valley,Conservative
"Berger, Lucianaÿ(Labour (Co-op))","Liverpool, Wavertree",Labour (Co-op)
"Berry, Jakeÿ(Conservative)",Rossendale and Darwen,Conservative
"Betts, Mr Cliveÿ(Labour)",Sheffield South East,Labour
"Black, Mhairiÿ(Scottish National Party)",Paisley and Renfrewshire South,Scottish National Party
"Blackford, Ianÿ(Scottish National Party)","Ross, Skye and Lochaber",Scottish National Party
"Blackman, Bobÿ(Conservative)",Harrow East,Conservative
"Blackman, Kirstyÿ(Scottish National Party)",Aberdeen North,Scottish National Party
"Blackman-Woods, Dr Roberta(Labour)",City of Durham,Labour
"Blomfield, Paulÿ(Labour)",Sheffield Central,Labour
"Blunt, Crispinÿ(Conservative)",Reigate,Conservative
"Boles, Nickÿ(Conservative)",Grantham and Stamford,Conservative
"Bone, Mr Peterÿ(Conservative)",Wellingborough,Conservative
"Bottomley, Sir Peterÿ(Conservative)",Worthing West,Conservative
"Bowie, Andrewÿ(Conservative)",West Aberdeenshire and Kincardine,Conservative
"Brabin, Tracyÿ(Labour (Co-op))",Batley and Spen,Labour (Co-op)
"Bradley, Benÿ(Conservative)",Mansfield,Conservative
"Bradley, Karenÿ(Conservative)",Staffordshire Moorlands,Conservative
"Bradshaw, Mr Benÿ(Labour)",Exeter,Labour
"Brady, Mr Grahamÿ(Conservative)",Altrincham and Sale West,Conservative
"Brady, Mickeyÿ(Sinn F‚in)",Newry and Armagh,Sinn F‚in
"Brake, Tomÿ(Liberal Democrat)",Carshalton and Wallington,Liberal Democrat
"Brennan, Kevinÿ(Labour)",Cardiff West,Labour
