Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households
HA0 1AL,Yes,51.547777,-0.312886,517081,184558,TQ170845,1/1/1980 12:00:00 AM,,51,6,3
HA0 1AX,Yes,51.548672,-0.312593,517099,184658,TQ170846,1/1/1980 12:00:00 AM,,54,13,5
HA0 1AY,No,51.548329,-0.312447,517110,184620,TQ171846,6/1/1996 12:00:00 AM,12/1/1998 12:00:00 AM,53,,
HA0 1AZ,No,51.539868,-0.305694,517600,183690,TQ176836,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,31,,
HA0 1BS,Yes,51.540334,-0.306787,517523,183740,TQ175837,12/1/1996 12:00:00 AM,,31,125,57
HA0 1BT,Yes,51.540801,-0.30677,517523,183792,TQ175837,12/1/1996 12:00:00 AM,,31,143,73
HA0 1BU,Yes,51.539985,-0.30569,517600,183703,TQ175837,12/1/1996 12:00:00 AM,,31,59,29
HA0 1BW,Yes,51.538131,-0.306191,517570,183496,TQ175834,1/1/1980 12:00:00 AM,,31,115,29
HA0 1DD,Yes,51.535487,-0.306189,517577,183202,TQ175832,1/1/1980 12:00:00 AM,,27,113,36
HA0 1DE,Yes,51.536768,-0.306444,517556,183344,TQ175833,1/1/1980 12:00:00 AM,,29,18,4
HA0 1DF,Yes,51.535915,-0.307773,517466,183247,TQ174832,1/1/1980 12:00:00 AM,,28,90,26
HA0 1DG,Yes,51.53567,-0.308258,517433,183219,TQ174832,1/1/1980 12:00:00 AM,,28,44,11
HA0 1DH,Yes,51.534595,-0.307274,517504,183101,TQ175831,1/1/1980 12:00:00 AM,,28,24,9
HA0 1DJ,Yes,51.534667,-0.306666,517546,183110,TQ175831,1/1/1980 12:00:00 AM,,27,9,4
HA0 1DL,Yes,51.534221,-0.308168,517443,183058,TQ174830,1/1/1980 12:00:00 AM,,26,80,23
HA0 1DN,Yes,51.534488,-0.308634,517410,183087,TQ174830,1/1/1980 12:00:00 AM,,28,79,22
HA0 1DP,Yes,51.535129,-0.309374,517357,183157,TQ173831,1/1/1980 12:00:00 AM,,29,71,18
HA0 1DQ,Yes,51.536911,-0.30765,517472,183358,TQ174833,1/1/1980 12:00:00 AM,,29,97,25
HA0 1DR,Yes,51.535721,-0.306829,517532,183227,TQ175832,1/1/1980 12:00:00 AM,,27,96,27
HA0 1DS,Yes,51.535844,-0.307257,517502,183240,TQ175832,1/1/1980 12:00:00 AM,,27,77,19
HA0 1DT,Yes,51.533831,-0.308543,517418,183014,TQ174830,1/1/1980 12:00:00 AM,,26,51,17
HA0 1DU,Yes,51.533622,-0.30904,517384,182990,TQ173829,1/1/1980 12:00:00 AM,,27,58,21
HA0 1DW,Yes,51.534838,-0.309183,517371,183125,TQ173831,1/1/1980 12:00:00 AM,,29,62,21
HA0 1FU,Yes,51.533699,-0.308049,517453,183000,TQ174830,1/1/2018 12:00:00 AM,,25,,
HA2 8BA,Yes,51.554303,-0.365424,513422,185201,TQ134852,10/1/2003 12:00:00 AM,,58,40,21
UB1 2FJ,Yes,51.532056,-0.373805,512896,182714,TQ128827,8/1/2008 12:00:00 AM,,34,,
UB1 2GU,Yes,51.53102,-0.37041,513134,182604,TQ131826,9/1/2007 12:00:00 AM,,36,,
UB1 2HG,Yes,51.530739,-0.367076,513366,182578,TQ133825,1/1/1980 12:00:00 AM,,38,85,46
UB1 2HS,Yes,51.529479,-0.366962,513377,182438,TQ133824,1/1/1980 12:00:00 AM,,43,77,25
UB1 2HT,Yes,51.530954,-0.366347,513416,182603,TQ134826,1/1/1980 12:00:00 AM,,38,73,24
UB1 2NP,Yes,51.53043,-0.37196,513028,182536,TQ130825,1/1/1980 12:00:00 AM,,33,98,30
UB1 2NS,No,51.53043,-0.37196,513028,182536,TQ130825,9/1/1981 12:00:00 AM,1/1/2016 12:00:00 AM,33,3,1
UB1 2NT,No,51.530112,-0.372375,513000,182500,TQ129824,2/1/1990 12:00:00 AM,12/1/1990 12:00:00 AM,33,,
UB1 2NU,No,51.530761,-0.371847,513035,182573,TQ130825,1/1/1980 12:00:00 AM,10/1/2003 12:00:00 AM,34,,
UB1 2NW,Yes,51.529456,-0.372413,512999,182427,TQ129824,1/1/1980 12:00:00 AM,,33,37,12
UB1 2NX,No,51.531342,-0.371624,513049,182638,TQ130826,6/1/2002 12:00:00 AM,10/1/2003 12:00:00 AM,34,,
UB1 2NY,Yes,51.531915,-0.371402,513063,182702,TQ130827,1/1/1980 12:00:00 AM,,34,148,56
UB1 2QD,Yes,51.529366,-0.373093,512952,182416,TQ129824,1/1/1980 12:00:00 AM,,33,90,38
UB1 2QG,Yes,51.530512,-0.372692,512977,182544,TQ129825,1/1/1980 12:00:00 AM,,33,15,5
UB1 2QL,Yes,51.531094,-0.373176,512942,182608,TQ129826,1/1/1980 12:00:00 AM,,34,64,18
UB1 2QN,Yes,51.531891,-0.372917,512958,182697,TQ129826,1/1/1980 12:00:00 AM,,34,79,18
UB1 2QP,No,51.532565,-0.374234,512865,182770,TQ128827,8/1/1992 12:00:00 AM,9/1/2006 12:00:00 AM,33,,
UB1 2QQ,Yes,51.531425,-0.372386,512996,182646,TQ129826,1/1/1980 12:00:00 AM,,34,71,30
UB1 2QR,Yes,51.529779,-0.37367,512911,182461,TQ129824,1/1/1980 12:00:00 AM,,33,81,26
UB1 2QS,No,51.532565,-0.374234,512865,182770,TQ128827,6/1/1997 12:00:00 AM,9/1/2006 12:00:00 AM,33,,
UB1 2QU,No,51.532565,-0.374234,512865,182770,TQ128827,1/1/1980 12:00:00 AM,9/1/2006 12:00:00 AM,33,,
UB1 2QW,Yes,51.530807,-0.373864,512895,182575,TQ128825,1/1/1980 12:00:00 AM,,33,254,32
UB1 2QX,No,51.532565,-0.374234,512865,182770,TQ128827,1/1/1980 12:00:00 AM,9/1/2006 12:00:00 AM,33,,
UB1 2QZ,No,51.532565,-0.374234,512865,182770,TQ128827,1/1/2004 12:00:00 AM,1/1/2004 12:00:00 AM,33,,
UB1 2XU,Yes,51.53068,-0.374445,512855,182560,TQ128825,5/1/1994 12:00:00 AM,,34,78,30
UB1 2XZ,No,51.530889,-0.375274,512797,182582,TQ127825,2/1/2003 12:00:00 AM,1/1/2004 12:00:00 AM,33,,
UB1 2YD,Yes,51.530047,-0.374814,512831,182489,TQ128824,3/1/1988 12:00:00 AM,,33,30,12
UB1 2YE,Yes,51.529866,-0.375411,512790,182468,TQ127824,3/1/1988 12:00:00 AM,,33,24,9
UB1 2YF,Yes,51.530166,-0.375523,512781,182501,TQ127825,3/1/1988 12:00:00 AM,,33,29,12
UB1 2YG,Yes,51.53037,-0.375465,512785,182524,TQ127825,3/1/1988 12:00:00 AM,,33,38,16
UB1 2YP,Yes,51.531256,-0.374482,512851,182624,TQ128826,7/1/1990 12:00:00 AM,,33,84,42
UB1 2YQ,Yes,51.530347,-0.375106,512810,182522,TQ128825,3/1/1988 12:00:00 AM,,33,55,23
UB1 2YT,No,51.531256,-0.374482,512851,182624,TQ128826,5/1/2004 12:00:00 AM,7/1/2005 12:00:00 AM,33,,
UB5 4AA,Yes,51.548212,-0.368441,513228,184519,TQ132845,1/1/1980 12:00:00 AM,,41,,
UB5 4AB,Yes,51.549112,-0.369735,513136,184617,TQ131846,8/1/2010 12:00:00 AM,,43,,
UB5 4AD,Yes,51.550819,-0.371593,513003,184804,TQ130848,1/1/1980 12:00:00 AM,,46,31,10
UB5 4AE,Yes,51.551761,-0.371458,513010,184909,TQ130849,1/1/1980 12:00:00 AM,,48,39,14
UB5 4AF,Yes,51.552504,-0.371879,512979,184991,TQ129849,1/1/1980 12:00:00 AM,,50,52,24
UB5 4AG,Yes,51.553362,-0.372122,512960,185086,TQ129850,1/1/1980 12:00:00 AM,,53,57,23
