Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households
TW8 9QN,Yes,51.49495,-0.301238,518025,178702,TQ180787,2/1/1990 12:00:00 AM,,17,63,35
TW8 9QP,Yes,51.494807,-0.300638,518067,178687,TQ180786,2/1/1990 12:00:00 AM,,16,55,27
UB1 1AA,No,51.5075,-0.378483,512632,179976,TQ126799,2/1/1990 12:00:00 AM,6/1/2014 12:00:00 AM,33,,
UB1 1AB,No,51.5075,-0.378483,512632,179976,TQ126799,6/1/2001 12:00:00 AM,3/1/2006 12:00:00 AM,33,,
UB1 1AD,No,51.51089,-0.383724,512260,180345,TQ122803,1/1/1995 12:00:00 AM,11/1/2000 12:00:00 AM,34,,
UB1 1AE,No,51.5075,-0.378483,512632,179976,TQ126799,8/1/2004 12:00:00 AM,6/1/2008 12:00:00 AM,33,,
UB1 1AF,No,51.506823,-0.378969,512600,179900,TQ125798,5/1/1994 12:00:00 AM,6/1/1996 12:00:00 AM,32,,
UB1 1AG,No,51.506823,-0.378969,512600,179900,TQ125798,12/1/1994 12:00:00 AM,7/1/1995 12:00:00 AM,32,,
UB1 1AH,No,51.506823,-0.378969,512600,179900,TQ125798,1/1/1995 12:00:00 AM,6/1/1996 12:00:00 AM,32,,
UB1 1AN,No,51.506823,-0.378969,512600,179900,TQ125798,5/1/1994 12:00:00 AM,7/1/1995 12:00:00 AM,32,,
UB1 1AP,Yes,51.516274,-0.384153,512217,180943,TQ122809,1/1/1995 12:00:00 AM,,31,47,36
UB1 1AQ,No,51.506823,-0.378969,512600,179900,TQ125798,1/1/1995 12:00:00 AM,12/1/1995 12:00:00 AM,32,,
UB1 1AR,No,51.506823,-0.378969,512600,179900,TQ125798,8/1/1992 12:00:00 AM,5/1/1994 12:00:00 AM,32,,
UB1 1AS,Yes,51.516516,-0.383482,512263,180971,TQ122809,1/1/1995 12:00:00 AM,,31,33,8
UB1 1AT,Yes,51.515351,-0.383753,512247,180841,TQ122808,1/1/1995 12:00:00 AM,,31,84,23
UB1 1AU,Yes,51.515492,-0.38555,512122,180854,TQ121808,1/1/1995 12:00:00 AM,,31,52,22
UB1 1AW,Yes,51.51512,-0.383978,512232,180815,TQ122808,1/1/1995 12:00:00 AM,,31,35,10
UB1 1AX,Yes,51.515255,-0.385962,512094,180827,TQ120808,1/1/1995 12:00:00 AM,,31,80,28
UB1 1AY,Yes,51.515359,-0.383032,512297,180843,TQ122808,1/1/1995 12:00:00 AM,,32,35,10
UB1 1AZ,Yes,51.515595,-0.385143,512150,180866,TQ121808,1/1/1995 12:00:00 AM,,31,106,33
UB1 1BA,Yes,51.507171,-0.379446,512566,179938,TQ125799,1/1/1980 12:00:00 AM,,33,21,5
UB1 1BB,No,51.506843,-0.380409,512500,179900,TQ124798,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,32,,
UB1 1BD,No,51.507133,-0.379289,512577,179934,TQ125799,1/1/1980 12:00:00 AM,5/1/2004 12:00:00 AM,33,,
UB1 1BE,Yes,51.507037,-0.378738,512615,179924,TQ126799,1/1/1980 12:00:00 AM,,32,90,12
UB1 1BF,Yes,51.516002,-0.38337,512272,180914,TQ122809,1/1/1995 12:00:00 AM,,31,51,13
UB1 1BG,No,51.516134,-0.383149,512287,180929,TQ122809,7/1/1995 12:00:00 AM,6/1/1997 12:00:00 AM,31,,
UB1 1BH,Yes,51.516222,-0.383016,512296,180939,TQ122809,1/1/1995 12:00:00 AM,,31,53,12
UB1 1BJ,Yes,51.516972,-0.383321,512273,181022,TQ122810,1/1/1995 12:00:00 AM,,31,53,21
UB1 1BL,Yes,51.506529,-0.379815,512542,179866,TQ125798,1/1/1980 12:00:00 AM,,32,100,24
UB1 1BN,Yes,51.506607,-0.380259,512511,179874,TQ125798,1/1/1980 12:00:00 AM,,32,107,31
UB1 1BP,Yes,51.506751,-0.380945,512463,179889,TQ124798,1/1/1980 12:00:00 AM,,32,152,36
UB1 1BQ,No,51.506823,-0.378969,512600,179900,TQ125798,1/1/1980 12:00:00 AM,12/1/1985 12:00:00 AM,32,,
UB1 1BS,Yes,51.507318,-0.381617,512415,179951,TQ124799,1/1/1980 12:00:00 AM,,32,52,14
UB1 1BT,Yes,51.506797,-0.382298,512369,179892,TQ123798,1/1/1980 12:00:00 AM,,32,135,33
UB1 1BU,Yes,51.507492,-0.383152,512308,179968,TQ123799,1/1/1980 12:00:00 AM,,33,83,20
UB1 1BW,Yes,51.507298,-0.380148,512517,179951,TQ125799,1/1/1980 12:00:00 AM,,32,27,8
UB1 1BX,No,51.506903,-0.38473,512200,179900,TQ121798,2/1/1990 12:00:00 AM,12/1/1991 12:00:00 AM,33,,
UB1 1BY,Yes,51.507053,-0.383889,512258,179918,TQ122799,1/1/1980 12:00:00 AM,,33,189,49
UB1 1BZ,Yes,51.507765,-0.384592,512207,179996,TQ122799,1/1/1980 12:00:00 AM,,34,68,20
UB1 1DA,Yes,51.508005,-0.386391,512082,180020,TQ120800,1/1/1980 12:00:00 AM,,32,100,25
UB1 1DB,Yes,51.508228,-0.388285,511950,180042,TQ119800,1/1/1980 12:00:00 AM,,32,63,17
UB1 1DD,Yes,51.508472,-0.390323,511808,180066,TQ118800,1/1/1980 12:00:00 AM,,33,90,22
UB1 1DE,Yes,51.509651,-0.390411,511799,180197,TQ117801,1/1/1980 12:00:00 AM,,31,91,25
UB1 1DF,Yes,51.509538,-0.389997,511828,180185,TQ118801,1/1/1980 12:00:00 AM,,32,103,25
UB1 1DG,Yes,51.509994,-0.389145,511886,180237,TQ118802,1/1/1980 12:00:00 AM,,31,132,38
UB1 1DH,Yes,51.51168,-0.388163,511950,180426,TQ119804,1/1/1980 12:00:00 AM,,32,113,22
UB1 1DJ,Yes,51.509817,-0.388748,511914,180218,TQ119802,1/1/1980 12:00:00 AM,,32,144,31
UB1 1DL,No,51.5075,-0.378483,512632,179976,TQ126799,6/1/2001 12:00:00 AM,5/1/2006 12:00:00 AM,33,,
UB1 1DN,No,51.5075,-0.378483,512632,179976,TQ126799,12/1/1995 12:00:00 AM,8/1/2001 12:00:00 AM,33,,
UB1 1DP,Yes,51.508002,-0.379641,512550,180030,TQ125800,1/1/1980 12:00:00 AM,,32,,
UB1 1DQ,Yes,51.511874,-0.38856,511922,180447,TQ119804,1/1/1980 12:00:00 AM,,32,93,24
UB1 1DR,Yes,51.507724,-0.383015,512317,179994,TQ123799,1/1/1980 12:00:00 AM,,32,14,4
UB1 1DS,Yes,51.507933,-0.3838,512262,180016,TQ122800,1/1/1980 12:00:00 AM,,33,28,8
UB1 1DT,No,51.5075,-0.378483,512632,179976,TQ126799,6/1/2001 12:00:00 AM,12/1/2001 12:00:00 AM,33,,
UB1 1DU,Yes,51.508218,-0.386132,512099,180044,TQ120800,1/1/1980 12:00:00 AM,,33,24,6
UB1 1DW,Yes,51.507512,-0.379269,512577,179976,TQ125799,1/1/1980 12:00:00 AM,,33,15,9
UB1 1DX,Yes,51.508503,-0.388016,511968,180073,TQ119800,1/1/1980 12:00:00 AM,,32,30,15
UB1 1DY,No,51.5075,-0.378483,512632,179976,TQ126799,6/1/2001 12:00:00 AM,2/1/2006 12:00:00 AM,33,,
UB1 1DZ,Yes,51.508614,-0.388862,511909,180084,TQ119800,1/1/1980 12:00:00 AM,,32,26,8
UB1 1EA,Yes,51.508745,-0.38991,511836,180097,TQ118800,1/1/1980 12:00:00 AM,,33,43,8
UB1 1EB,Yes,51.508857,-0.390857,511770,180108,TQ117801,1/1/1980 12:00:00 AM,,32,17,5
UB1 1ED,Yes,51.509352,-0.388289,511947,180167,TQ119801,1/1/1980 12:00:00 AM,,32,90,24
UB1 1EE,Yes,51.5104,-0.387964,511967,180284,TQ119802,1/1/1980 12:00:00 AM,,32,53,13
UB1 1EF,Yes,51.511537,-0.387606,511989,180411,TQ119804,1/1/1980 12:00:00 AM,,33,116,30
UB1 1EG,No,51.511436,-0.387451,512000,180400,TQ120803,1/1/1980 12:00:00 AM,6/1/1997 12:00:00 AM,33,,
