Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households
E1 6AW,Yes,51.523753,-0.075922,533581,182292,TQ335822,1/1/2007 12:00:00 AM,,21,,
E1 6AX,Yes,51.524447,-0.077652,533459,182366,TQ334823,5/1/2007 12:00:00 AM,,20,37,15
E1 6BW,Yes,51.522583,-0.077499,533475,182159,TQ334821,1/1/1980 12:00:00 AM,,19,14,10
E1 6FA,Yes,51.524386,-0.078709,533386,182357,TQ333823,1/1/2018 12:00:00 AM,,16,,
E1 6GY,Yes,51.523454,-0.076338,533553,182258,TQ335822,11/1/2011 12:00:00 AM,,20,,
E1 6HE,No,51.524295,-0.07662,533531,182351,TQ335823,12/1/2000 12:00:00 AM,2/1/2004 12:00:00 AM,22,,
E1 6HP,Yes,51.524447,-0.077652,533459,182366,TQ334823,1/1/1980 12:00:00 AM,,20,,
E1 6HS,No,51.524127,-0.076223,533559,182333,TQ335823,5/1/1994 12:00:00 AM,12/1/1999 12:00:00 AM,22,,
E1 6HU,Yes,51.524401,-0.077553,533466,182361,TQ334823,1/1/1980 12:00:00 AM,,20,25,14
E1 6HX,No,51.525541,-0.078009,533431,182487,TQ334824,1/1/1980 12:00:00 AM,12/1/1998 12:00:00 AM,21,,
E1 6HY,Yes,51.52433,-0.077628,533461,182353,TQ334823,1/1/1980 12:00:00 AM,,20,,
E1 6JA,No,51.526564,-0.078413,533400,182600,TQ333826,2/1/1990 12:00:00 AM,6/1/1996 12:00:00 AM,24,,
E1 6JB,Yes,51.525762,-0.078346,533407,182511,TQ334825,1/1/1980 12:00:00 AM,,21,81,35
E1 6JD,No,51.525665,-0.078451,533400,182500,TQ333824,2/1/1990 12:00:00 AM,7/1/1995 12:00:00 AM,21,,
E1 6JE,Yes,51.526418,-0.078275,533410,182584,TQ334825,1/1/1980 12:00:00 AM,,23,98,57
E1 6JF,No,51.526564,-0.078413,533400,182600,TQ333826,1/1/1992 12:00:00 AM,7/1/1995 12:00:00 AM,24,,
E1 6JG,No,51.525665,-0.078451,533400,182500,TQ333824,5/1/1994 12:00:00 AM,1/1/1995 12:00:00 AM,21,,
E1 6JJ,Yes,51.524074,-0.076689,533527,182326,TQ335823,1/1/1980 12:00:00 AM,,22,3,2
E1 6JL,No,51.524402,-0.077077,533499,182362,TQ334823,2/1/1984 12:00:00 AM,1/1/2016 12:00:00 AM,21,,
E1 6JN,Yes,51.526308,-0.077645,533454,182573,TQ334825,1/1/1980 12:00:00 AM,,22,26,10
E1 6JQ,Yes,51.525719,-0.077353,533476,182508,TQ334825,1/1/2005 12:00:00 AM,,21,,
E1 6JR,No,51.525665,-0.078451,533400,182500,TQ333824,8/1/1992 12:00:00 AM,7/1/1995 12:00:00 AM,21,,
E1 6JS,No,51.525665,-0.078451,533400,182500,TQ333824,1/1/1980 12:00:00 AM,12/1/1994 12:00:00 AM,21,,
E1 6LG,Yes,51.523673,-0.077612,533464,182280,TQ334822,1/1/1980 12:00:00 AM,,19,6,2
E1 6LQ,No,51.522969,-0.078564,533400,182200,TQ334821,5/1/1994 12:00:00 AM,1/1/1995 12:00:00 AM,19,,
E1 6PA,No,51.522946,-0.077124,533500,182200,TQ334822,6/1/2000 12:00:00 AM,2/1/2007 12:00:00 AM,19,,
E1 6PB,No,51.522071,-0.078602,533400,182100,TQ334821,2/1/1990 12:00:00 AM,7/1/1995 12:00:00 AM,18,,
E1 6PD,No,51.522932,-0.077369,533483,182198,TQ334821,1/1/1980 12:00:00 AM,2/1/2009 12:00:00 AM,19,,
E1 6PG,Yes,51.522497,-0.077719,533460,182149,TQ334821,1/1/1980 12:00:00 AM,,19,,
E1 6PH,No,51.522071,-0.078602,533400,182100,TQ334821,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,18,,
E1 6PJ,Yes,51.522444,-0.078228,533425,182142,TQ334821,1/1/1980 12:00:00 AM,,19,26,10
E1 6PN,No,51.52255,-0.078207,533426,182154,TQ334821,9/1/1991 12:00:00 AM,9/1/2016 12:00:00 AM,19,,
E1 6PP,No,51.522776,-0.078313,533418,182179,TQ334821,6/1/2000 12:00:00 AM,4/1/2016 12:00:00 AM,19,,
E1 6PQ,Yes,51.524072,-0.076716,533525,182326,TQ335823,7/1/2004 12:00:00 AM,,22,,
E1 6ZZ,No,51.524312,-0.077657,533459,182351,TQ334823,6/1/1998 12:00:00 AM,12/1/1999 12:00:00 AM,20,,
E15 2EE,No,51.547711,-0.020868,537328,185058,TQ373850,1/1/1980 12:00:00 AM,7/1/2013 12:00:00 AM,11,,
E15 2EP,No,51.549786,-0.020201,537368,185290,TQ373852,5/1/1994 12:00:00 AM,1/1/2009 12:00:00 AM,9,,
E15 2EQ,No,51.547345,-0.019975,537391,185019,TQ373850,12/1/2007 12:00:00 AM,1/1/2008 12:00:00 AM,13,,
E15 2FB,No,51.553134,-0.018238,537494,185666,TQ374856,6/1/2008 12:00:00 AM,12/1/2010 12:00:00 AM,6,,
E15 2GW,Yes,51.547207,-0.024482,537079,184995,TQ370849,2/1/2016 12:00:00 AM,,8,,
E15 2GX,No,51.545392,-0.020925,537331,184800,TQ373848,10/1/2015 12:00:00 AM,1/1/2017 12:00:00 AM,4,,
E15 2GY,Yes,51.546177,-0.020417,537364,184888,TQ373848,2/1/2016 12:00:00 AM,,12,,
E15 2GZ,Yes,51.547901,-0.024539,537073,185072,TQ370850,2/1/2016 12:00:00 AM,,6,,
E15 2HB,Yes,51.548459,-0.022452,537216,185138,TQ372851,2/1/2016 12:00:00 AM,,8,,
E15 2HN,No,51.543874,-0.020515,537364,184632,TQ373846,10/1/1984 12:00:00 AM,2/1/2008 12:00:00 AM,10,,
E15 2UP,No,51.544285,-0.021406,537301,184676,TQ373846,12/1/1994 12:00:00 AM,7/1/2001 12:00:00 AM,9,,
E15 2UR,No,51.544285,-0.021406,537301,184676,TQ373846,12/1/1994 12:00:00 AM,7/1/2001 12:00:00 AM,9,,
E15 2US,No,51.544285,-0.021406,537301,184676,TQ373846,12/1/1994 12:00:00 AM,7/1/2001 12:00:00 AM,9,,
E2 7DD,Yes,51.524165,-0.07621,533560,182337,TQ335823,2/1/2004 12:00:00 AM,,22,,
E2 7HZ,No,51.523844,-0.077086,533500,182300,TQ334822,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,21,,
E2 7JD,Yes,51.526076,-0.077165,533488,182548,TQ334825,1/1/1980 12:00:00 AM,,21,2,1
E2 7JG,Yes,51.526028,-0.076979,533501,182543,TQ335825,11/1/2003 12:00:00 AM,,20,6,3
E2 7JJ,Yes,51.526208,-0.077015,533498,182563,TQ334825,1/1/1980 12:00:00 AM,,21,63,21
