Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude
HA3 0HA,No,51.582387,-0.317104,516700,188400,TQ167884,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,54
HA3 5AE,Yes,51.597443,-0.33884,515156,190040,TQ151900,7/1/2015 12:00:00 AM,,60
HA3 5BF,No,51.599065,-0.342232,514917,190215,TQ149902,12/1/1994 12:00:00 AM,12/1/1998 12:00:00 AM,62
HA3 5BG,No,51.599082,-0.342188,514920,190217,TQ149902,12/1/1994 12:00:00 AM,11/1/2000 12:00:00 AM,62
HA3 5DE,No,51.594864,-0.335758,515376,189758,TQ153897,1/1/1980 12:00:00 AM,2/1/2015 12:00:00 AM,56
HA3 5DF,Yes,51.594864,-0.335758,515376,189758,TQ153897,1/1/1980 12:00:00 AM,,57
HA3 5DG,No,51.595076,-0.33549,515394,189782,TQ153897,1/1/1980 12:00:00 AM,12/1/2002 12:00:00 AM,57
HA3 5DH,No,51.595257,-0.336841,515300,189800,TQ153898,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,57
HA3 5DL,Yes,51.5969,-0.336015,515353,189984,TQ153899,1/1/1980 12:00:00 AM,,58
HA3 5DN,No,51.596156,-0.336808,515300,189900,TQ153899,1/1/1980 12:00:00 AM,5/1/1994 12:00:00 AM,58
HA3 5DP,No,51.597055,-0.336775,515300,190000,TQ153900,8/1/1992 12:00:00 AM,1/1/1995 12:00:00 AM,59
HA3 5DQ,Yes,51.595634,-0.335528,515390,189844,TQ153898,1/1/1980 12:00:00 AM,,57
HA3 5DR,No,51.597075,-0.338218,515200,190000,TQ152900,8/1/1993 12:00:00 AM,12/1/1994 12:00:00 AM,59
HA3 5DS,Yes,51.598362,-0.339572,515103,190141,TQ151901,4/1/2015 12:00:00 AM,,61
HA3 5DT,Yes,51.597699,-0.337214,515268,190071,TQ152900,1/1/1980 12:00:00 AM,,60
HA3 5DU,Yes,51.597883,-0.338102,515206,190090,TQ152900,1/1/1980 12:00:00 AM,,61
HA3 5DW,No,51.597055,-0.336775,515300,190000,TQ153900,1/1/1980 12:00:00 AM,12/1/1991 12:00:00 AM,59
HA3 5DX,Yes,51.598261,-0.337482,515248,190133,TQ152901,1/1/1980 12:00:00 AM,,60
HA3 5DY,Yes,51.599966,-0.339167,515127,190320,TQ151903,1/1/1980 12:00:00 AM,,64
HA3 5DZ,Yes,51.598632,-0.338335,515188,190173,TQ151901,1/1/1980 12:00:00 AM,,62
HA3 5EA,Yes,51.599128,-0.337768,515226,190229,TQ152902,1/1/1980 12:00:00 AM,,62
HA3 5EB,Yes,51.59868,-0.339185,515129,190177,TQ151901,6/1/2016 12:00:00 AM,,62
HA3 5ED,No,51.599065,-0.342232,514917,190215,TQ149902,8/1/1992 12:00:00 AM,6/1/1998 12:00:00 AM,62
HA3 5EE,Yes,51.60139,-0.338768,515151,190479,TQ151904,1/1/1980 12:00:00 AM,,68
HA3 5EF,No,51.601589,-0.339497,515100,190500,TQ151905,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,69
HA3 5EG,Yes,51.602898,-0.33919,515118,190646,TQ151906,6/1/1998 12:00:00 AM,,72
HA3 5EH,No,51.603407,-0.340875,515000,190700,TQ150907,1/1/1980 12:00:00 AM,12/1/1996 12:00:00 AM,72
HA3 5EJ,No,51.594358,-0.336874,515300,189700,TQ153897,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,56
HA3 5EL,Yes,51.603286,-0.339291,515110,190689,TQ151906,1/1/1980 12:00:00 AM,,73
HA3 5EN,No,51.602488,-0.339465,515100,190600,TQ151906,8/1/1993 12:00:00 AM,1/1/1995 12:00:00 AM,72
HA3 5EP,No,51.603366,-0.337988,515200,190700,TQ152907,1/1/1980 12:00:00 AM,12/1/1995 12:00:00 AM,72
HA3 5EQ,Yes,51.603949,-0.339801,515073,190762,TQ150907,1/1/1980 12:00:00 AM,,73
HA3 5ER,No,51.604241,-0.340079,515053,190794,TQ150907,6/1/1998 12:00:00 AM,11/1/2015 12:00:00 AM,73
HA3 5ES,Yes,51.603502,-0.339962,515063,190712,TQ150907,1/1/1980 12:00:00 AM,,73
HA3 5EU,Yes,51.602772,-0.340465,515030,190630,TQ150906,1/1/1980 12:00:00 AM,,73
HA3 5EX,Yes,51.602549,-0.341874,514933,190603,TQ149906,1/1/1980 12:00:00 AM,,72
HA3 5EY,Yes,51.60162,-0.344204,514774,190496,TQ147904,1/1/1980 12:00:00 AM,,67
HA3 5EZ,Yes,51.600899,-0.34602,514650,190413,TQ146904,1/1/1980 12:00:00 AM,,64
HA3 5FB,Yes,51.599274,-0.338557,515171,190244,TQ151902,1/1/2017 12:00:00 AM,,64
HA3 5FD,Yes,51.598011,-0.338891,515151,190103,TQ151901,1/1/2016 12:00:00 AM,,61
HA3 5FE,Yes,51.597452,-0.33884,515156,190041,TQ151900,3/1/2016 12:00:00 AM,,60
HA3 5GA,Yes,51.600927,-0.340388,515040,190425,TQ150904,8/1/2003 12:00:00 AM,,68
HA3 5HA,Yes,51.60075,-0.347585,514542,190394,TQ145903,1/1/1980 12:00:00 AM,,64
HA3 5HB,Yes,51.600518,-0.347045,514580,190369,TQ145903,1/1/1980 12:00:00 AM,,63
HA3 5HD,Yes,51.601078,-0.344685,514742,190435,TQ147904,1/1/1980 12:00:00 AM,,66
HA3 5HE,Yes,51.601954,-0.342372,514900,190536,TQ149905,1/1/1980 12:00:00 AM,,71
HA3 5HF,Yes,51.601873,-0.340469,515032,190530,TQ150905,1/1/1980 12:00:00 AM,,71
HA3 5HG,Yes,51.601634,-0.339452,515103,190505,TQ151905,1/1/1980 12:00:00 AM,,69
HA3 5HH,Yes,51.60121,-0.341908,514934,190454,TQ149904,1/1/1980 12:00:00 AM,,70
HA3 5HJ,Yes,51.600868,-0.339379,515110,190420,TQ151904,1/1/1980 12:00:00 AM,,66
HA3 5HL,No,51.600665,-0.338982,515138,190398,TQ151903,1/1/1980 12:00:00 AM,9/1/2006 12:00:00 AM,65
HA3 5HN,Yes,51.600286,-0.340209,515054,190354,TQ150903,1/1/1980 12:00:00 AM,,66
HA3 5HP,Yes,51.600173,-0.342379,514904,190338,TQ149903,1/1/1980 12:00:00 AM,,66
HA3 5HQ,Yes,51.601838,-0.341207,514981,190525,TQ149905,1/1/1980 12:00:00 AM,,71
HA3 5HR,Yes,51.599476,-0.342664,514886,190260,TQ148902,1/1/1980 12:00:00 AM,,63
HA3 5HS,Yes,51.599463,-0.344975,514726,190255,TQ147902,1/1/1980 12:00:00 AM,,62
HA3 5HT,Yes,51.600217,-0.346103,514646,190337,TQ146903,1/1/1980 12:00:00 AM,,63
HA3 5HU,Yes,51.599779,-0.345065,514719,190290,TQ147902,1/1/1980 12:00:00 AM,,63
HA3 5HW,Yes,51.600184,-0.341238,514983,190341,TQ149903,1/1/1980 12:00:00 AM,,67
HA3 5HX,Yes,51.600716,-0.343904,514797,190396,TQ147903,1/1/1980 12:00:00 AM,,67
HA3 5HY,Yes,51.600112,-0.345038,514720,190327,TQ147903,1/1/1980 12:00:00 AM,,64
HA3 5HZ,Yes,51.600503,-0.343464,514828,190373,TQ148903,1/1/1980 12:00:00 AM,,67
HA3 5JA,Yes,51.599781,-0.342639,514887,190294,TQ148902,1/1/1980 12:00:00 AM,,64
HA3 5JD,Yes,51.600209,-0.346825,514596,190335,TQ145903,3/1/1983 12:00:00 AM,,62
HA3 5JF,Yes,51.597587,-0.343282,514848,190049,TQ148900,1/1/1992 12:00:00 AM,,60
HA3 5JG,No,51.597157,-0.34399,514800,190000,TQ148900,4/1/1986 12:00:00 AM,12/1/1990 12:00:00 AM,59
HA3 5JJ,Yes,51.602725,-0.351817,514244,190607,TQ142906,1/1/1980 12:00:00 AM,,63
HA3 5JL,Yes,51.604103,-0.342395,514893,190775,TQ148907,1/1/1980 12:00:00 AM,,69
HA3 5JN,Yes,51.603582,-0.343078,514847,190716,TQ148907,1/1/1980 12:00:00 AM,,68
HA3 5JP,Yes,51.603476,-0.341955,514925,190706,TQ149907,1/1/1980 12:00:00 AM,,70
HA3 5JQ,Yes,51.595945,-0.342259,514923,189868,TQ149898,10/1/1985 12:00:00 AM,,58
HA3 5JR,Yes,51.602904,-0.342164,514912,190642,TQ149906,1/1/1980 12:00:00 AM,,71
HA3 5JS,Yes,51.601931,-0.344611,514745,190530,TQ147905,1/1/1980 12:00:00 AM,,66
HA3 5JT,Yes,51.602064,-0.345126,514709,190544,TQ147905,1/1/1980 12:00:00 AM,,65
HA3 5JU,Yes,51.60297,-0.344977,514717,190645,TQ147906,1/1/1980 12:00:00 AM,,67
HA3 5JW,Yes,51.603401,-0.344254,514766,190694,TQ147906,1/1/1980 12:00:00 AM,,68
HA3 5JX,Yes,51.603551,-0.345346,514690,190709,TQ146907,1/1/1980 12:00:00 AM,,68
HA3 5JY,Yes,51.603945,-0.346502,514609,190751,TQ146907,1/1/1980 12:00:00 AM,,73
HA3 5JZ,Yes,51.603839,-0.349191,514423,190735,TQ144907,1/1/1980 12:00:00 AM,,72
HA3 5LA,Yes,51.604182,-0.34928,514416,190773,TQ144907,1/1/1980 12:00:00 AM,,73
HA3 5LB,Yes,51.604236,-0.348036,514502,190781,TQ145907,1/1/1980 12:00:00 AM,,74
HA3 5LD,Yes,51.604328,-0.346257,514625,190794,TQ146907,1/1/1980 12:00:00 AM,,74
HA3 5LE,Yes,51.604471,-0.343002,514850,190815,TQ148908,1/1/1980 12:00:00 AM,,70
HA3 5LF,Yes,51.603823,-0.340427,515030,190747,TQ150907,1/1/1980 12:00:00 AM,,72
HA3 5LG,Yes,51.603791,-0.342565,514882,190740,TQ148907,2/1/1990 12:00:00 AM,,69
HA3 5LN,No,51.599082,-0.342188,514920,190217,TQ149902,12/1/1997 12:00:00 AM,6/1/2000 12:00:00 AM,62
HA3 5LP,Yes,51.597665,-0.344997,514729,190055,TQ147900,10/1/1985 12:00:00 AM,,59
HA3 5LR,Yes,51.598565,-0.346336,514634,190153,TQ146901,1/1/1980 12:00:00 AM,,61
HA3 5LS,Yes,51.599638,-0.348463,514484,190269,TQ144902,1/1/1980 12:00:00 AM,,63
HA3 5LT,Yes,51.59839,-0.346674,514611,190133,TQ146901,1/1/1980 12:00:00 AM,,61
HA3 5LU,Yes,51.599575,-0.349043,514444,190261,TQ144902,1/1/1980 12:00:00 AM,,63
HA3 5LW,No,51.599082,-0.342188,514920,190217,TQ149902,6/1/1996 12:00:00 AM,9/1/2000 12:00:00 AM,62
HA3 5LX,Yes,51.600188,-0.34915,514435,190329,TQ144903,1/1/1980 12:00:00 AM,,64
HA3 5LY,Yes,51.600651,-0.350736,514324,190378,TQ143903,1/1/1980 12:00:00 AM,,64
HA3 5ND,Yes,51.601344,-0.350798,514318,190455,TQ143904,1/1/1980 12:00:00 AM,,63
HA3 5NE,Yes,51.600841,-0.350224,514359,190400,TQ143904,1/1/1980 12:00:00 AM,,65
HA3 5NF,Yes,51.601576,-0.35001,514372,190482,TQ143904,1/1/1980 12:00:00 AM,,66
HA3 5NG,Yes,51.602072,-0.350757,514319,190536,TQ143905,1/1/1980 12:00:00 AM,,64
HA3 5NH,Yes,51.603459,-0.350924,514304,190690,TQ143906,1/1/1980 12:00:00 AM,,66
HA3 5NJ,Yes,51.603218,-0.350412,514340,190664,TQ143906,1/1/1980 12:00:00 AM,,68
HA3 5NL,Yes,51.603179,-0.351482,514266,190658,TQ142906,1/1/1980 12:00:00 AM,,65
HA3 5NQ,Yes,51.602628,-0.351343,514277,190597,TQ142905,1/1/1980 12:00:00 AM,,64
HA3 5NU,Yes,51.599395,-0.340155,515060,190255,TQ150902,1/1/1980 12:00:00 AM,,64
HA3 5NX,Yes,51.598836,-0.341922,514939,190190,TQ149901,1/1/1980 12:00:00 AM,,62
HA3 5NY,Yes,51.598196,-0.343115,514858,190117,TQ148901,1/1/1980 12:00:00 AM,,60
HA3 5NZ,Yes,51.598995,-0.342364,514908,190207,TQ149902,1/1/1980 12:00:00 AM,,62
HA3 5PA,Yes,51.598294,-0.343646,514821,190127,TQ148901,1/1/1980 12:00:00 AM,,59
HA3 5PB,Yes,51.597818,-0.344356,514773,190073,TQ147900,1/1/1980 12:00:00 AM,,59
HA3 5PD,No,51.597766,-0.343232,514851,190069,TQ148900,7/1/1986 12:00:00 AM,2/1/2003 12:00:00 AM,59
HA3 5PE,Yes,51.598267,-0.344297,514776,190123,TQ147901,1/1/1980 12:00:00 AM,,59
HA3 5PF,No,51.598076,-0.345401,514700,190100,TQ147901,8/1/1992 12:00:00 AM,12/1/1992 12:00:00 AM,59
HA3 5PH,Yes,51.599156,-0.345492,514691,190220,TQ146902,1/1/1980 12:00:00 AM,,61
HA3 5PJ,Yes,51.598948,-0.344763,514742,190198,TQ147901,1/1/1980 12:00:00 AM,,61
HA3 5PL,Yes,51.599009,-0.343389,514837,190207,TQ148902,1/1/1980 12:00:00 AM,,61
HA3 5PN,Yes,51.598675,-0.344527,514759,190168,TQ147901,1/1/1980 12:00:00 AM,,60
HA3 5PP,Yes,51.599871,-0.347747,514533,190296,TQ145902,1/1/1980 12:00:00 AM,,63
