Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude
HA1 1AA,No,51.579677,-0.335836,515409,188069,TQ154880,12/1/2000 12:00:00 AM,10/1/2004 12:00:00 AM,72
HA1 1AB,No,51.581184,-0.334915,515469,188238,TQ154882,7/1/1990 12:00:00 AM,9/1/2000 12:00:00 AM,70
HA1 1AE,No,51.585856,-0.338425,515214,188752,TQ152887,1/1/1992 12:00:00 AM,6/1/1999 12:00:00 AM,64
HA1 1AF,No,51.579677,-0.335836,515409,188069,TQ154880,6/1/1996 12:00:00 AM,6/1/1997 12:00:00 AM,72
HA1 1AG,No,51.580394,-0.337557,515288,188146,TQ152881,7/1/1990 12:00:00 AM,6/1/2004 12:00:00 AM,71
HA1 1AH,No,51.580228,-0.339179,515176,188125,TQ151881,1/1/1991 12:00:00 AM,12/1/1999 12:00:00 AM,67
HA1 1AL,No,51.579999,-0.338841,515200,188100,TQ152881,2/1/1990 12:00:00 AM,5/1/1994 12:00:00 AM,68
HA1 1AN,No,51.580857,-0.335923,515400,188200,TQ154882,12/1/1994 12:00:00 AM,12/1/1995 12:00:00 AM,72
HA1 1AP,No,51.581149,-0.334368,515507,188235,TQ155882,3/1/1988 12:00:00 AM,10/1/2011 12:00:00 AM,70
HA1 1AQ,No,51.585237,-0.329686,515821,188697,TQ158886,5/1/1994 12:00:00 AM,9/1/2005 12:00:00 AM,57
HA1 1AR,Yes,51.579766,-0.336382,515371,188078,TQ153880,10/1/2016 12:00:00 AM,,72
HA1 1AS,Yes,51.580988,-0.336958,515328,188213,TQ153882,10/1/1987 12:00:00 AM,,72
HA1 1AT,Yes,51.580685,-0.336507,515360,188180,TQ153881,10/1/1987 12:00:00 AM,,73
HA1 1AU,No,51.580877,-0.337366,515300,188200,TQ153882,2/1/1990 12:00:00 AM,12/1/1991 12:00:00 AM,72
HA1 1AW,No,51.580857,-0.335923,515400,188200,TQ154882,12/1/1994 12:00:00 AM,6/1/1996 12:00:00 AM,72
HA1 1AX,No,51.580019,-0.340284,515100,188100,TQ151881,10/1/1987 12:00:00 AM,5/1/1994 12:00:00 AM,67
HA1 1AY,Yes,51.580218,-0.334676,515488,188131,TQ154881,5/1/2007 12:00:00 AM,,72
HA1 1AZ,No,51.580218,-0.334676,515488,188131,TQ154881,6/1/2008 12:00:00 AM,8/1/2008 12:00:00 AM,72
HA1 1BA,Yes,51.579836,-0.334965,515469,188088,TQ154880,1/1/1980 12:00:00 AM,,72
HA1 1BB,Yes,51.579433,-0.336971,515331,188040,TQ153880,1/1/1980 12:00:00 AM,,72
HA1 1BD,Yes,51.579874,-0.337027,515326,188089,TQ153880,10/1/1985 12:00:00 AM,,72
HA1 1BE,Yes,51.580228,-0.336018,515395,188130,TQ153881,1/1/1980 12:00:00 AM,,73
HA1 1BF,No,51.585237,-0.329686,515821,188697,TQ158886,6/1/2001 12:00:00 AM,5/1/2003 12:00:00 AM,57
HA1 1BG,No,51.580148,-0.339889,515127,188115,TQ151881,12/1/1994 12:00:00 AM,12/1/1998 12:00:00 AM,67
HA1 1BH,Yes,51.580303,-0.341312,515028,188130,TQ150881,1/1/1980 12:00:00 AM,,67
HA1 1BJ,No,51.580039,-0.341726,515000,188100,TQ150881,7/1/1995 12:00:00 AM,12/1/1996 12:00:00 AM,66
HA1 1BL,No,51.579059,-0.335989,515400,188000,TQ154880,7/1/1995 12:00:00 AM,12/1/1996 12:00:00 AM,73
HA1 1BN,No,51.579059,-0.335989,515400,188000,TQ154880,1/1/1980 12:00:00 AM,6/1/1996 12:00:00 AM,73
HA1 1BP,No,51.585237,-0.329686,515821,188697,TQ158886,12/1/2001 12:00:00 AM,1/1/2002 12:00:00 AM,57
HA1 1BQ,Yes,51.580273,-0.338557,515219,188131,TQ152881,1/1/1980 12:00:00 AM,,68
HA1 1BS,No,51.580221,-0.339309,515167,188124,TQ151881,4/1/1987 12:00:00 AM,6/1/1998 12:00:00 AM,67
HA1 1BT,No,51.579079,-0.337431,515300,188000,TQ153880,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,72
HA1 1BU,No,51.579079,-0.337431,515300,188000,TQ153880,2/1/1990 12:00:00 AM,7/1/1997 12:00:00 AM,72
HA1 1BW,Yes,51.579574,-0.334873,515476,188059,TQ154880,4/1/1987 12:00:00 AM,,71
HA1 1BX,No,51.580394,-0.337557,515288,188146,TQ152881,11/1/2003 12:00:00 AM,7/1/2013 12:00:00 AM,71
HA1 1BY,No,51.579877,-0.334732,515485,188093,TQ154880,4/1/1987 12:00:00 AM,6/1/2011 12:00:00 AM,72
HA1 1BZ,No,51.579079,-0.337431,515300,188000,TQ153880,10/1/1984 12:00:00 AM,12/1/1991 12:00:00 AM,72
HA1 1DA,No,51.579978,-0.337399,515300,188100,TQ153881,1/1/1980 12:00:00 AM,12/1/1985 12:00:00 AM,71
HA1 1DB,No,51.580394,-0.337557,515288,188146,TQ152881,2/1/1990 12:00:00 AM,7/1/2013 12:00:00 AM,71
HA1 1DD,No,51.579999,-0.338841,515200,188100,TQ152881,1/1/1980 12:00:00 AM,12/1/1986 12:00:00 AM,68
HA1 1DE,No,51.579079,-0.337431,515300,188000,TQ153880,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,72
HA1 1DF,No,51.579978,-0.337399,515300,188100,TQ153881,1/1/1992 12:00:00 AM,1/1/1995 12:00:00 AM,71
HA1 1DG,No,51.579999,-0.338841,515200,188100,TQ152881,6/1/1981 12:00:00 AM,5/1/1994 12:00:00 AM,68
HA1 1DH,No,51.585856,-0.338425,515214,188752,TQ152887,12/1/1995 12:00:00 AM,5/1/2001 12:00:00 AM,64
HA1 1DJ,No,51.580251,-0.338846,515199,188128,TQ151881,1/1/1980 12:00:00 AM,7/1/2001 12:00:00 AM,68
HA1 1DL,No,51.580019,-0.340284,515100,188100,TQ151881,1/1/1980 12:00:00 AM,12/1/1990 12:00:00 AM,67
HA1 1DN,No,51.580239,-0.334878,515474,188133,TQ154881,1/1/1980 12:00:00 AM,1/1/2007 12:00:00 AM,72
