Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households
IG1 1AA,No,51.558255,0.072064,543738,186409,TQ437864,2/1/1990 12:00:00 AM,8/1/2003 12:00:00 AM,17,,
IG1 1AB,No,51.558255,0.072064,543738,186409,TQ437864,10/1/1987 12:00:00 AM,2/1/2015 12:00:00 AM,17,,
IG1 1AD,No,51.55807,0.072373,543760,186389,TQ437863,6/1/1997 12:00:00 AM,8/1/2001 12:00:00 AM,16,,
IG1 1AE,No,51.556748,0.081502,544397,186260,TQ443862,12/1/1996 12:00:00 AM,12/1/1997 12:00:00 AM,12,,
IG1 1AF,No,51.556748,0.081502,544397,186260,TQ443862,12/1/1996 12:00:00 AM,6/1/1999 12:00:00 AM,12,,
IG1 1AG,Yes,51.557648,0.072368,543761,186342,TQ437863,12/1/1995 12:00:00 AM,,15,,
IG1 1AH,No,51.556675,0.081571,544402,186252,TQ444862,9/1/1991 12:00:00 AM,12/1/1999 12:00:00 AM,12,,
IG1 1AJ,No,51.558184,0.071513,543700,186400,TQ437863,7/1/1995 12:00:00 AM,6/1/1996 12:00:00 AM,16,,
IG1 1AL,No,51.558255,0.072064,543738,186409,TQ437864,7/1/1995 12:00:00 AM,8/1/1997 12:00:00 AM,17,,
IG1 1AN,No,51.556748,0.081502,544397,186260,TQ443862,6/1/1996 12:00:00 AM,12/1/1999 12:00:00 AM,12,,
IG1 1AP,No,51.558184,0.071513,543700,186400,TQ437863,1/1/1993 12:00:00 AM,12/1/1996 12:00:00 AM,16,,
IG1 1AQ,No,51.558184,0.071513,543700,186400,TQ437863,5/1/1994 12:00:00 AM,12/1/1996 12:00:00 AM,16,,
IG1 1AR,Yes,51.559704,0.07151,543695,186569,TQ436865,9/1/1991 12:00:00 AM,,22,,
IG1 1AS,Yes,51.559672,0.072302,543750,186567,TQ437865,9/1/1991 12:00:00 AM,,23,,
IG1 1AT,Yes,51.559672,0.072302,543750,186567,TQ437865,9/1/1991 12:00:00 AM,,23,,
IG1 1AU,No,51.556748,0.081502,544397,186260,TQ443862,12/1/1995 12:00:00 AM,6/1/1998 12:00:00 AM,12,,
IG1 1AW,No,51.558184,0.071513,543700,186400,TQ437863,1/1/1993 12:00:00 AM,12/1/1995 12:00:00 AM,16,,
IG1 1AX,No,51.556748,0.081502,544397,186260,TQ443862,1/1/1993 12:00:00 AM,12/1/1998 12:00:00 AM,12,,
IG1 1AY,No,51.558184,0.071513,543700,186400,TQ437863,1/1/1992 12:00:00 AM,12/1/1995 12:00:00 AM,16,,
IG1 1AZ,Yes,51.55807,0.072373,543760,186389,TQ437863,2/1/2016 12:00:00 AM,,16,,
IG1 1BA,Yes,51.557885,0.071643,543710,186367,TQ437863,1/1/1980 12:00:00 AM,,16,2,1
IG1 1BB,No,51.557886,0.071615,543708,186367,TQ437863,1/1/1980 12:00:00 AM,2/1/2015 12:00:00 AM,16,,
IG1 1BD,Yes,51.557686,0.071735,543717,186345,TQ437863,1/1/1980 12:00:00 AM,,16,,
IG1 1BE,Yes,51.55912,0.075551,543977,186512,TQ439865,2/1/1984 12:00:00 AM,,18,102,31
IG1 1BF,Yes,51.561204,0.085313,544647,186763,TQ446867,3/1/2009 12:00:00 AM,,12,,
IG1 1BG,No,51.558151,0.071367,543690,186396,TQ436863,3/1/1988 12:00:00 AM,5/1/2010 12:00:00 AM,16,,
IG1 1BH,Yes,51.557873,0.072335,543758,186367,TQ437863,1/1/1980 12:00:00 AM,,16,,
IG1 1BJ,No,51.557286,0.071472,543700,186300,TQ437863,1/1/1980 12:00:00 AM,12/1/1994 12:00:00 AM,16,,
IG1 1BL,No,51.557286,0.071472,543700,186300,TQ437863,7/1/1990 12:00:00 AM,12/1/1995 12:00:00 AM,16,,
IG1 1BN,Yes,51.558404,0.071896,543726,186425,TQ437864,1/1/1980 12:00:00 AM,,19,4,2
IG1 1BP,Yes,51.557575,0.073909,543868,186337,TQ438863,7/1/2002 12:00:00 AM,,13,,
IG1 1BQ,No,51.55807,0.072373,543760,186389,TQ437863,12/1/1996 12:00:00 AM,2/1/2006 12:00:00 AM,16,,
IG1 1BS,No,51.55807,0.072373,543760,186389,TQ437863,3/1/2005 12:00:00 AM,4/1/2006 12:00:00 AM,16,,
IG1 1BT,Yes,51.558676,0.075214,543955,186462,TQ439864,6/1/1997 12:00:00 AM,,18,,
IG1 1BU,Yes,51.558392,0.07145,543695,186423,TQ436864,6/1/1997 12:00:00 AM,,17,,
IG1 1BW,No,51.55807,0.072373,543760,186389,TQ437863,6/1/1999 12:00:00 AM,2/1/2006 12:00:00 AM,16,,
IG1 1BX,Yes,51.558377,0.072399,543761,186423,TQ437864,1/1/1980 12:00:00 AM,,17,,
IG1 1BY,Yes,51.558725,0.073456,543833,186464,TQ438864,1/1/1980 12:00:00 AM,,19,,
IG1 1BZ,No,51.55807,0.072373,543760,186389,TQ437863,6/1/2001 12:00:00 AM,6/1/2003 12:00:00 AM,16,,
IG1 1DA,Yes,51.558764,0.073833,543859,186469,TQ438864,1/1/1980 12:00:00 AM,,19,,
IG1 1DB,No,51.559261,0.073149,543810,186523,TQ438865,1/1/1980 12:00:00 AM,12/1/1998 12:00:00 AM,22,,
IG1 1DD,Yes,51.55807,0.072373,543760,186389,TQ437863,12/1/1995 12:00:00 AM,,16,,
IG1 1DE,Yes,51.558829,0.071222,543678,186471,TQ436864,1/1/1980 12:00:00 AM,,19,26,9
IG1 1DF,No,51.556748,0.081502,544397,186260,TQ443862,12/1/1996 12:00:00 AM,6/1/1998 12:00:00 AM,12,,
IG1 1DG,Yes,51.559315,0.07374,543851,186530,TQ438865,1/1/1980 12:00:00 AM,,21,3,1
IG1 1DH,No,51.55807,0.072373,543760,186389,TQ437863,6/1/1997 12:00:00 AM,10/1/2003 12:00:00 AM,16,,
IG1 1DJ,No,51.558191,0.071643,543709,186401,TQ437864,7/1/1995 12:00:00 AM,6/1/1997 12:00:00 AM,16,,
IG1 1DL,Yes,51.558304,0.070939,543660,186412,TQ436864,1/1/1980 12:00:00 AM,,16,,
IG1 1DN,No,51.558466,0.071843,543722,186432,TQ437864,1/1/1992 12:00:00 AM,4/1/2015 12:00:00 AM,18,16,5
IG1 1DP,No,51.559403,0.07177,543714,186536,TQ437865,2/1/1990 12:00:00 AM,8/1/1997 12:00:00 AM,22,,
IG1 1DQ,Yes,51.559882,0.071114,543667,186588,TQ436865,1/1/1980 12:00:00 AM,,22,,
IG1 1DR,No,51.558184,0.071513,543700,186400,TQ437863,1/1/1980 12:00:00 AM,12/1/1986 12:00:00 AM,16,,
IG1 1DS,Yes,51.558549,0.072265,543751,186442,TQ437864,1/1/1980 12:00:00 AM,,18,5,1
IG1 1DT,Yes,51.557265,0.075669,543991,186306,TQ439863,2/1/1984 12:00:00 AM,,14,34,9
IG1 1DU,Yes,51.556481,0.075301,543968,186218,TQ439862,4/1/1987 12:00:00 AM,,13,34,23
IG1 1DW,No,51.556748,0.081502,544397,186260,TQ443862,6/1/1997 12:00:00 AM,12/1/1997 12:00:00 AM,12,,
IG1 1DX,No,51.556336,0.074314,543900,186200,TQ439861,2/1/1990 12:00:00 AM,12/1/1991 12:00:00 AM,14,,
IG1 1DY,No,51.556675,0.081571,544402,186252,TQ444862,12/1/2000 12:00:00 AM,1/1/2001 12:00:00 AM,12,,
IG1 1DZ,No,51.558764,0.073833,543859,186469,TQ438864,6/1/1996 12:00:00 AM,7/1/1997 12:00:00 AM,19,,
IG1 1EA,Yes,51.558063,0.075301,543963,186394,TQ439863,1/1/1980 12:00:00 AM,,16,,
IG1 1EB,No,51.55726,0.072913,543800,186300,TQ437862,7/1/1990 12:00:00 AM,12/1/1991 12:00:00 AM,14,,
IG1 1ED,Yes,51.556084,0.074906,543942,186173,TQ439861,1/1/1980 12:00:00 AM,,13,15,5
IG1 1EE,Yes,51.556823,0.074319,543899,186254,TQ438862,1/1/1980 12:00:00 AM,,14,,
IG1 1EF,Yes,51.558855,0.074789,543925,186481,TQ439864,1/1/1980 12:00:00 AM,,19,,
IG1 1EG,No,51.558184,0.071513,543700,186400,TQ437863,6/1/1981 12:00:00 AM,12/1/1994 12:00:00 AM,16,,
IG1 1EH,No,51.55459,0.071349,543700,186000,TQ436860,2/1/1990 12:00:00 AM,12/1/1992 12:00:00 AM,11,,
IG1 1EJ,Yes,51.555513,0.073584,543852,186107,TQ438861,1/1/1980 12:00:00 AM,,14,180,50
IG1 1EL,Yes,51.555831,0.075921,544013,186147,TQ440861,1/1/1980 12:00:00 AM,,13,133,42
IG1 1EN,Yes,51.554825,0.073812,543870,186031,TQ438860,1/1/1980 12:00:00 AM,,14,143,36
IG1 1EP,No,51.554539,0.074232,543900,186000,TQ438860,7/1/1990 12:00:00 AM,12/1/1996 12:00:00 AM,14,,
IG1 1EQ,Yes,51.558322,0.073409,543831,186419,TQ438864,10/1/1984 12:00:00 AM,,16,,
IG1 1ER,Yes,51.555186,0.076281,544040,186076,TQ440860,1/1/1980 12:00:00 AM,,13,159,40
IG1 1ES,Yes,51.553993,0.074582,543926,185940,TQ439859,1/1/1980 12:00:00 AM,,15,118,30
IG1 1ET,Yes,51.55483,0.076582,544062,186037,TQ440860,1/1/1980 12:00:00 AM,,13,145,36
IG1 1EU,Yes,51.553453,0.075106,543964,185881,TQ439858,1/1/1980 12:00:00 AM,,13,195,57
IG1 1EW,Yes,51.554476,0.075324,543976,185995,TQ439859,1/1/1980 12:00:00 AM,,15,4,2
IG1 1EX,Yes,51.55392,0.077176,544106,185937,TQ441859,1/1/1980 12:00:00 AM,,13,131,42
IG1 1EY,Yes,51.554296,0.078837,544220,185982,TQ442859,1/1/1980 12:00:00 AM,,12,71,23
IG1 1EZ,Yes,51.554759,0.079594,544271,186035,TQ442860,1/1/1980 12:00:00 AM,,12,69,21
IG1 1FA,Yes,51.561108,0.08616,544706,186754,TQ447867,5/1/2016 12:00:00 AM,,12,,
IG1 1FB,Yes,51.560421,0.087439,544797,186680,TQ447866,10/1/2017 12:00:00 AM,,11,,
IG1 1FD,No,51.554463,0.078556,544200,186000,TQ441860,12/1/1998 12:00:00 AM,10/1/2000 12:00:00 AM,13,,
IG1 1FE,No,51.556748,0.081502,544397,186260,TQ443862,6/1/1998 12:00:00 AM,12/1/1998 12:00:00 AM,12,,
IG1 1FF,No,51.554463,0.078556,544200,186000,TQ441860,12/1/1994 12:00:00 AM,6/1/1996 12:00:00 AM,13,,
IG1 1FG,No,51.556748,0.081502,544397,186260,TQ443862,12/1/1994 12:00:00 AM,6/1/1998 12:00:00 AM,12,,
IG1 1FH,No,51.55807,0.072373,543760,186389,TQ437863,12/1/2001 12:00:00 AM,4/1/2006 12:00:00 AM,16,,
IG1 1FJ,No,51.556748,0.081502,544397,186260,TQ443862,1/1/1995 12:00:00 AM,12/1/1998 12:00:00 AM,12,,
IG1 1FL,No,51.554463,0.078556,544200,186000,TQ441860,7/1/1995 12:00:00 AM,12/1/1996 12:00:00 AM,13,,
IG1 1FN,No,51.55807,0.072373,543760,186389,TQ437863,7/1/1995 12:00:00 AM,6/1/1997 12:00:00 AM,16,,
IG1 1FP,No,51.556675,0.081571,544402,186252,TQ444862,12/1/1998 12:00:00 AM,6/1/2000 12:00:00 AM,12,,
IG1 1FQ,Yes,51.558071,0.0724,543762,186389,TQ437863,3/1/2017 12:00:00 AM,,16,,
IG1 1FR,No,51.55807,0.072373,543760,186389,TQ437863,12/1/1995 12:00:00 AM,11/1/2003 12:00:00 AM,16,,
IG1 1FS,Yes,51.563135,0.09149,545069,186990,TQ450869,9/1/2012 12:00:00 AM,,13,,
IG1 1FT,Yes,51.561458,0.089754,544954,186800,TQ449868,5/1/2012 12:00:00 AM,,14,,
IG1 1FW,No,51.55807,0.072373,543760,186389,TQ437863,1/1/2007 12:00:00 AM,1/1/2007 12:00:00 AM,16,,
IG1 1FX,No,51.554463,0.078556,544200,186000,TQ441860,6/1/1999 12:00:00 AM,12/1/1999 12:00:00 AM,13,,
IG1 1FY,Yes,51.561803,0.091573,545079,186842,TQ450868,7/1/2012 12:00:00 AM,,13,,
IG1 1FZ,No,51.556748,0.081502,544397,186260,TQ443862,12/1/1997 12:00:00 AM,6/1/1999 12:00:00 AM,12,,
IG1 1GD,No,51.556748,0.081502,544397,186260,TQ443862,12/1/1997 12:00:00 AM,12/1/1998 12:00:00 AM,12,,
IG1 1GE,No,51.55807,0.072373,543760,186389,TQ437863,12/1/1997 12:00:00 AM,2/1/2006 12:00:00 AM,16,,
IG1 1GF,No,51.556675,0.081571,544402,186252,TQ444862,12/1/1999 12:00:00 AM,6/1/2000 12:00:00 AM,12,,
IG1 1GG,No,51.556748,0.081502,544397,186260,TQ443862,12/1/1997 12:00:00 AM,12/1/1998 12:00:00 AM,12,,
IG1 1GH,Yes,51.555828,0.07305,543814,186141,TQ438861,9/1/2005 12:00:00 AM,,13,15,6
IG1 1GJ,No,51.556748,0.081502,544397,186260,TQ443862,6/1/1998 12:00:00 AM,6/1/1999 12:00:00 AM,12,,
IG1 1GL,No,51.554463,0.078556,544200,186000,TQ441860,12/1/1998 12:00:00 AM,6/1/1999 12:00:00 AM,13,,
IG1 1GN,No,51.554463,0.078556,544200,186000,TQ441860,9/1/1998 12:00:00 AM,9/1/2000 12:00:00 AM,13,,
IG1 1GP,No,51.55807,0.072373,543760,186389,TQ437863,12/1/1998 12:00:00 AM,3/1/2002 12:00:00 AM,16,,
IG1 1GQ,No,51.55807,0.072373,543760,186389,TQ437863,12/1/1998 12:00:00 AM,10/1/2002 12:00:00 AM,16,,
IG1 1GR,No,51.556675,0.081571,544402,186252,TQ444862,6/1/1999 12:00:00 AM,6/1/2000 12:00:00 AM,12,,
IG1 1GS,No,51.556675,0.081571,544402,186252,TQ444862,12/1/1999 12:00:00 AM,11/1/2000 12:00:00 AM,12,,
IG1 1GT,Yes,51.560293,0.080409,544310,186652,TQ443866,12/1/1994 12:00:00 AM,,15,,
IG1 1GU,No,51.55807,0.072373,543760,186389,TQ437863,6/1/1997 12:00:00 AM,9/1/2004 12:00:00 AM,16,,
IG1 1GW,No,51.556675,0.081571,544402,186252,TQ444862,6/1/1998 12:00:00 AM,6/1/2000 12:00:00 AM,12,,
IG1 1GX,No,51.556748,0.081502,544397,186260,TQ443862,12/1/1997 12:00:00 AM,12/1/1998 12:00:00 AM,12,,
IG1 1GY,No,51.556675,0.081571,544402,186252,TQ444862,6/1/1998 12:00:00 AM,6/1/2000 12:00:00 AM,12,,
IG1 1GZ,No,51.55807,0.072373,543760,186389,TQ437863,12/1/2001 12:00:00 AM,5/1/2011 12:00:00 AM,16,,
IG1 1HA,Yes,51.554764,0.080919,544363,186038,TQ443860,1/1/1980 12:00:00 AM,,12,104,26
IG1 1HB,Yes,51.555058,0.081988,544436,186073,TQ444860,1/1/1980 12:00:00 AM,,12,91,25
IG1 1HD,Yes,51.554966,0.083152,544517,186065,TQ445860,1/1/1980 12:00:00 AM,,12,91,26
IG1 1HE,Yes,51.554388,0.082231,544455,185999,TQ444859,1/1/1980 12:00:00 AM,,11,208,59
