Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude
SE12 0RL,Yes,51.445511,0.004959,539430,173742,TQ394737,1/1/1980 12:00:00 AM,,25
SE13 5AA,Yes,51.4596,-0.005968,538628,175288,TQ386752,1/1/1980 12:00:00 AM,,15
SE13 5AB,Yes,51.45949,-0.004807,538709,175278,TQ387752,1/1/1980 12:00:00 AM,,13
SE13 5AD,Yes,51.460723,-0.006985,538554,175411,TQ385754,1/1/1980 12:00:00 AM,,13
SE13 5AE,Yes,51.458742,-0.0052,538684,175194,TQ386751,1/1/1980 12:00:00 AM,,15
SE13 5BL,No,51.460901,-0.001535,538932,175441,TQ389754,1/1/1980 12:00:00 AM,5/1/2016 12:00:00 AM,27
SE13 5EA,Yes,51.460983,0.000469,539071,175454,TQ390754,1/1/1980 12:00:00 AM,,29
SE13 5EB,Yes,51.461225,-0.000499,539003,175479,TQ390754,1/1/1980 12:00:00 AM,,29
SE13 5ED,Yes,51.461398,-0.001168,538956,175497,TQ389754,1/1/1980 12:00:00 AM,,29
SE13 5EE,Yes,51.461559,-0.002198,538884,175513,TQ388755,1/1/1980 12:00:00 AM,,28
SE13 5EF,Yes,51.460942,-0.002397,538872,175444,TQ388754,1/1/1980 12:00:00 AM,,23
SE13 5EG,Yes,51.461144,-0.003137,538820,175465,TQ388754,1/1/1980 12:00:00 AM,,22
SE13 5EH,No,51.460589,-0.004889,538700,175400,TQ387754,1/1/1980 12:00:00 AM,12/1/1999 12:00:00 AM,14
SE13 5EJ,Yes,51.461018,-0.00369,538782,175450,TQ387754,1/1/1980 12:00:00 AM,,19
SE13 5EL,Yes,51.460561,-0.002745,538849,175401,TQ388754,1/1/1980 12:00:00 AM,,20
SE13 5EN,Yes,51.460855,-0.004647,538716,175430,TQ387754,1/1/1980 12:00:00 AM,,15
SE13 5EP,No,51.461463,-0.003411,538800,175500,TQ388755,2/1/1990 12:00:00 AM,6/1/1996 12:00:00 AM,23
SE13 5EQ,Yes,51.461746,-0.003643,538783,175531,TQ387755,1/1/1980 12:00:00 AM,,24
SE13 5ES,Yes,51.460771,-0.007645,538508,175415,TQ385754,1/1/1980 12:00:00 AM,,14
SE13 5EU,Yes,51.459634,-0.006888,538564,175290,TQ385752,6/1/1981 12:00:00 AM,,17
SE13 5EW,Yes,51.460913,-0.000182,539026,175445,TQ390754,6/1/1981 12:00:00 AM,,28
SE13 5EX,Yes,51.459058,-0.006856,538568,175226,TQ385752,6/1/1981 12:00:00 AM,,19
SE13 5EY,Yes,51.459588,-0.007912,538493,175283,TQ384752,1/1/1980 12:00:00 AM,,19
SE13 5FA,Yes,51.460152,-0.00354,538795,175354,TQ387753,3/1/2015 12:00:00 AM,,15
SE13 5FF,Yes,51.460707,-0.005459,538660,175412,TQ386754,11/1/2011 12:00:00 AM,,13
SE13 5FH,Yes,51.46181,-0.007412,538521,175531,TQ385755,7/1/2015 12:00:00 AM,,13
SE13 5FL,Yes,51.465228,-0.012763,538139,175901,TQ381759,10/1/2016 12:00:00 AM,,10
SE13 5FN,Yes,51.46181,-0.007412,538521,175531,TQ385755,9/1/2016 12:00:00 AM,,12
SE13 5FQ,Yes,51.459559,-0.005121,538687,175285,TQ386752,5/1/2016 12:00:00 AM,,11
SE13 5FR,Yes,51.46181,-0.007412,538521,175531,TQ385755,1/1/2016 12:00:00 AM,,13
SE13 5FS,Yes,51.465228,-0.012763,538139,175901,TQ381759,5/1/2016 12:00:00 AM,,10
SE13 5FT,Yes,51.465228,-0.012763,538139,175901,TQ381759,4/1/2016 12:00:00 AM,,13
SE13 5HD,Yes,51.460739,-0.00422,538746,175418,TQ387754,6/1/2000 12:00:00 AM,,15
SE13 5HE,Yes,51.460457,-0.00452,538726,175386,TQ387753,6/1/2000 12:00:00 AM,,14
SE13 5HT,Yes,51.458735,-0.004264,538749,175195,TQ387751,1/1/1980 12:00:00 AM,,14
SE13 5JF,No,51.45924,-0.013354,538116,175234,TQ381752,7/1/1986 12:00:00 AM,6/1/2008 12:00:00 AM,12
SE13 5JG,No,51.462484,-0.010565,538300,175600,TQ383756,9/1/1991 12:00:00 AM,12/1/1992 12:00:00 AM,15
SE13 5JH,Yes,51.462946,-0.010775,538284,175651,TQ382756,1/1/1980 12:00:00 AM,,15
SE13 5JJ,Yes,51.462946,-0.010775,538284,175651,TQ382756,1/1/1980 12:00:00 AM,,15
SE13 5JL,No,51.462484,-0.010565,538300,175600,TQ383756,7/1/1990 12:00:00 AM,12/1/1991 12:00:00 AM,15
SE13 5JN,No,51.463055,-0.010842,538279,175663,TQ382756,1/1/1980 12:00:00 AM,6/1/2016 12:00:00 AM,14
SE13 5JP,No,51.464306,-0.011925,538200,175800,TQ382758,1/1/1980 12:00:00 AM,12/1/1992 12:00:00 AM,10
SE13 5JR,No,51.462484,-0.010565,538300,175600,TQ383756,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,15
SE13 5JS,No,51.463407,-0.011964,538200,175700,TQ382757,7/1/1995 12:00:00 AM,6/1/1996 12:00:00 AM,12
SE13 5JT,No,51.464306,-0.011925,538200,175800,TQ382758,1/1/1980 12:00:00 AM,7/1/1995 12:00:00 AM,10
SE13 5JW,No,51.464978,-0.011781,538208,175875,TQ382758,1/1/1980 12:00:00 AM,5/1/2010 12:00:00 AM,10
SE13 5JY,No,51.45924,-0.013354,538116,175234,TQ381752,1/1/1993 12:00:00 AM,4/1/2009 12:00:00 AM,12
SE13 5LB,Yes,51.462315,-0.006973,538550,175588,TQ385755,12/1/1994 12:00:00 AM,,15
SE13 5LE,Yes,51.461986,-0.005576,538648,175554,TQ386755,1/1/1980 12:00:00 AM,,16
