Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude
BR1 4BY,Yes,51.417289,-0.001741,539050,170591,TQ390705,1/1/1980 12:00:00 AM,,35
BR1 4DN,Yes,51.418996,-0.002156,539016,170780,TQ390707,1/1/1980 12:00:00 AM,,35
BR1 4EY,Yes,51.418477,0.005042,539518,170736,TQ395707,1/1/1980 12:00:00 AM,,50
BR1 4FD,Yes,51.421083,-0.002194,539007,171012,TQ390710,1/1/2010 12:00:00 AM,,33
BR1 4JG,Yes,51.419403,-0.000728,539114,170828,TQ391708,1/1/1980 12:00:00 AM,,40
BR1 4JL,Yes,51.416954,-0.000576,539132,170556,TQ391705,1/1/1980 12:00:00 AM,,42
BR1 4JN,Yes,51.419992,-0.003076,538949,170889,TQ389708,1/1/1980 12:00:00 AM,,33
BR1 4JP,Yes,51.419995,0.005137,539520,170905,TQ395709,6/1/1999 12:00:00 AM,,45
BR1 4JQ,Yes,51.419085,-0.001087,539090,170792,TQ390707,1/1/1980 12:00:00 AM,,39
BR1 4JS,Yes,51.417802,0.003488,539412,170658,TQ394706,4/1/2006 12:00:00 AM,,54
BR1 4JT,Yes,51.419098,0.001329,539258,170798,TQ392707,1/1/1980 12:00:00 AM,,46
BR1 4JU,Yes,51.418946,0.000791,539221,170780,TQ392707,1/1/1980 12:00:00 AM,,45
BR1 4JW,Yes,51.419976,-0.003724,538904,170886,TQ389708,1/1/1980 12:00:00 AM,,32
BR1 4JX,Yes,51.420948,-0.001653,539045,170998,TQ390709,1/1/1980 12:00:00 AM,,34
BR1 4JY,Yes,51.421914,-0.004517,538843,171100,TQ388711,1/1/1980 12:00:00 AM,,30
BR1 4JZ,Yes,51.422371,-0.004468,538845,171151,TQ388711,1/1/1980 12:00:00 AM,,30
BR1 4LA,Yes,51.422964,-0.004413,538847,171217,TQ388712,1/1/1980 12:00:00 AM,,31
BR1 4LB,Yes,51.424728,-0.005041,538798,171412,TQ387714,1/1/1980 12:00:00 AM,,30
BR1 4LE,Yes,51.42316,-0.005886,538744,171236,TQ387712,1/1/1980 12:00:00 AM,,30
BR1 4LF,Yes,51.423051,-0.006337,538713,171223,TQ387712,1/1/1980 12:00:00 AM,,30
