Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude
BR3 1AA,No,51.407682,-0.032385,536948,169465,TQ369694,1/1/1980 12:00:00 AM,8/1/2016 12:00:00 AM,34
BR3 1BW,Yes,51.422417,-0.037505,536548,171094,TQ365710,2/1/2008 12:00:00 AM,,29
BR3 1BZ,Yes,51.413076,-0.038754,536489,170053,TQ364700,12/1/2012 12:00:00 AM,,27
BR3 1DL,No,51.399286,-0.049249,535800,168500,TQ358685,6/1/2001 12:00:00 AM,7/1/2004 12:00:00 AM,34
BR3 1EH,No,51.41394,-0.041464,536298,170144,TQ362701,12/1/2001 12:00:00 AM,12/1/2016 12:00:00 AM,28
BR3 1EP,Yes,51.409974,-0.043589,536162,169699,TQ361696,12/1/1995 12:00:00 AM,,33
BR3 1ES,Yes,51.411208,-0.030321,537081,169861,TQ370698,8/1/1992 12:00:00 AM,,37
BR3 1FB,Yes,51.419004,-0.035106,536725,170719,TQ367707,12/1/2016 12:00:00 AM,,25
BR3 1GL,No,51.399286,-0.049249,535800,168500,TQ358685,6/1/1996 12:00:00 AM,8/1/1997 12:00:00 AM,34
BR3 1GU,No,51.399286,-0.049249,535800,168500,TQ358685,12/1/1998 12:00:00 AM,11/1/2003 12:00:00 AM,34
BR3 1HA,Yes,51.410862,-0.031673,536988,169820,TQ369698,1/1/1980 12:00:00 AM,,34
BR3 1HB,Yes,51.410922,-0.030951,537038,169828,TQ370698,1/1/1980 12:00:00 AM,,36
BR3 1HD,Yes,51.412197,-0.034592,536781,169963,TQ367699,1/1/1980 12:00:00 AM,,31
BR3 1HE,Yes,51.411108,-0.032942,536899,169845,TQ368698,1/1/1980 12:00:00 AM,,34
BR3 1HF,Yes,51.411012,-0.032012,536964,169836,TQ369698,1/1/1980 12:00:00 AM,,34
BR3 1HG,Yes,51.411623,-0.035206,536740,169898,TQ367698,1/1/1980 12:00:00 AM,,31
BR3 1HH,Yes,51.411955,-0.03246,536930,169940,TQ369699,1/1/1980 12:00:00 AM,,35
BR3 1HJ,Yes,51.412964,-0.0342,536806,170049,TQ368700,1/1/1980 12:00:00 AM,,32
BR3 1HN,Yes,51.410996,-0.030013,537103,169838,TQ371698,1/1/1980 12:00:00 AM,,37
BR3 1HT,Yes,51.410047,-0.031334,537014,169730,TQ370697,1/1/1980 12:00:00 AM,,34
BR3 1HU,Yes,51.409541,-0.03173,536988,169673,TQ369696,1/1/1980 12:00:00 AM,,33
BR3 1HW,Yes,51.408298,-0.032128,536964,169534,TQ369695,1/1/1980 12:00:00 AM,,33
BR3 1HX,Yes,51.40915,-0.032005,536970,169629,TQ369696,1/1/1980 12:00:00 AM,,34
BR3 1HZ,Yes,51.408548,-0.032017,536971,169562,TQ369695,1/1/1980 12:00:00 AM,,33
BR3 1JA,Yes,51.407869,-0.032262,536956,169486,TQ369694,1/1/1980 12:00:00 AM,,34
BR3 1JD,Yes,51.412032,-0.046247,535971,169923,TQ359699,1/1/1980 12:00:00 AM,,32
BR3 1JE,Yes,51.411177,-0.043997,536130,169832,TQ361698,1/1/1980 12:00:00 AM,,32
BR3 1JF,Yes,51.411366,-0.045643,536015,169850,TQ360698,1/1/1980 12:00:00 AM,,32
